RMI,0,231.421,402653200,0,BinarySearch,fb_200M_uint64
RMI,1,244.232,201326608,0,BinarySearch,fb_200M_uint64
RMI,2,270.091,100663312,0,BinarySearch,fb_200M_uint64
RMI,3,295.025,25165840,0,BinarySearch,fb_200M_uint64
RMI,4,299.308,12582928,0,BinarySearch,fb_200M_uint64
RMI,5,327.872,6291472,0,BinarySearch,fb_200M_uint64
RMI,6,345.881,3145744,0,BinarySearch,fb_200M_uint64
RMI,7,388.555,786448,0,BinarySearch,fb_200M_uint64
RMI,8,523.056,24592,0,BinarySearch,fb_200M_uint64
RMI,9,623.466,3088,0,BinarySearch,fb_200M_uint64
RS,1,710.843,508497300,3807795436,BinarySearch,fb_200M_uint64
RS,2,641.27,255289316,2721096504,BinarySearch,fb_200M_uint64
RS,3,638.274,125577380,2637306498,BinarySearch,fb_200M_uint64
RS,4,599.57,63861140,2296809386,BinarySearch,fb_200M_uint64
RS,5,575.635,31846612,2343223148,BinarySearch,fb_200M_uint64
RS,6,572.435,15994836,2113781551,BinarySearch,fb_200M_uint64
RS,7,600.597,7982532,2111485784,BinarySearch,fb_200M_uint64
RS,8,597.653,3995812,2078864104,BinarySearch,fb_200M_uint64
RS,9,588.114,3995812,2118292284,BinarySearch,fb_200M_uint64
RS,10,598.24,3995812,1996930105,BinarySearch,fb_200M_uint64
PGM,16,443.295,43774520,8587651755,BinarySearch,fb_200M_uint64
PGM,4,433.571,173186120,10243950172,BinarySearch,fb_200M_uint64
PGM,8,430.668,87810720,9345958966,BinarySearch,fb_200M_uint64
PGM,32,473.407,21637120,8046898548,BinarySearch,fb_200M_uint64
PGM,64,474.258,10639900,7484655943,BinarySearch,fb_200M_uint64
PGM,256,502.543,2413640,7052042603,BinarySearch,fb_200M_uint64
PGM,1024,590.16,371400,5851374646,BinarySearch,fb_200M_uint64
PGM,2048,651.566,118520,5336948580,BinarySearch,fb_200M_uint64
PGM,4096,690.247,34160,4786666529,BinarySearch,fb_200M_uint64
PGM,8192,746.68,9660,4522508168,BinarySearch,fb_200M_uint64
ART,1,617.874,5073605008,10032405062,BinarySearch,fb_200M_uint64
ART,32,516.933,143897336,923000046,BinarySearch,fb_200M_uint64
ART,64,500.678,69335392,481372423,BinarySearch,fb_200M_uint64
ART,128,514.8,36893984,393043507,BinarySearch,fb_200M_uint64
ART,256,531.866,18892768,455929501,BinarySearch,fb_200M_uint64
ART,512,533.868,11349208,232841382,BinarySearch,fb_200M_uint64
ART,1024,542.831,3709864,140644392,BinarySearch,fb_200M_uint64
ART,2048,572.969,3000672,121700170,BinarySearch,fb_200M_uint64
ART,4096,628.092,775120,112177535,BinarySearch,fb_200M_uint64
ART,8192,699.073,718024,109333221,BinarySearch,fb_200M_uint64
BTree,32,578.417,116016232,60528392,BinarySearch,fb_200M_uint64
BTree,1,747.491,3712500896,2535626959,BinarySearch,fb_200M_uint64
BTree,4,666.425,928126304,597311842,BinarySearch,fb_200M_uint64
BTree,16,595.57,232032112,116425148,BinarySearch,fb_200M_uint64
BTree,64,608.787,58008568,21286189,BinarySearch,fb_200M_uint64
BTree,128,612.825,29004872,9838099,BinarySearch,fb_200M_uint64
BTree,512,597.805,7251896,2191039,BinarySearch,fb_200M_uint64
BTree,1024,608.937,3626672,863234,BinarySearch,fb_200M_uint64
BTree,4096,697.462,906864,207027,BinarySearch,fb_200M_uint64
BTree,16384,793.334,227048,57336,BinarySearch,fb_200M_uint64
BTree,65536,903.653,57096,24672,BinarySearch,fb_200M_uint64
BTree,262144,989.794,14608,9137,BinarySearch,fb_200M_uint64
IBTree,1,664.026,3225127816,2410264462,BinarySearch,fb_200M_uint64
IBTree,32,552.129,100794136,819580959,BinarySearch,fb_200M_uint64
IBTree,64,536.618,50401192,258188137,BinarySearch,fb_200M_uint64
IBTree,128,525.096,25202664,663734497,BinarySearch,fb_200M_uint64
IBTree,256,516.711,12603400,579082338,BinarySearch,fb_200M_uint64
IBTree,512,526.751,6303768,151830755,BinarySearch,fb_200M_uint64
IBTree,1024,538.061,3153952,175992784,BinarySearch,fb_200M_uint64
IBTree,2048,567.677,1583160,129276508,BinarySearch,fb_200M_uint64
IBTree,4096,605.92,789528,91253869,BinarySearch,fb_200M_uint64
IBTree,8192,653.6,398888,66029864,BinarySearch,fb_200M_uint64
FAST,1,906.022,3657143296,12311727692,BinarySearch,fb_200M_uint64
FAST,16,681.99,228571776,778206159,BinarySearch,fb_200M_uint64
FAST,256,629.75,14286080,33654369,BinarySearch,fb_200M_uint64
FAST,512,621.499,7143296,13908133,BinarySearch,fb_200M_uint64
FAST,768,599.421,4762240,11801025,BinarySearch,fb_200M_uint64
FAST,1024,618.761,3571712,8355968,BinarySearch,fb_200M_uint64
FAST,1526,639.265,2396672,5943351,BinarySearch,fb_200M_uint64
FAST,2048,674.42,1785984,4451578,BinarySearch,fb_200M_uint64
FAST,4096,718.475,893184,2235132,BinarySearch,fb_200M_uint64
FAST,8192,729.249,446592,1115765,BinarySearch,fb_200M_uint64
FST,128,1056.93,14338401,98871601,BinarySearch,fb_200M_uint64
FST,256,1014.12,7067570,46240247,BinarySearch,fb_200M_uint64
FST,512,1005.54,3526746,20921857,BinarySearch,fb_200M_uint64
FST,1024,1019.9,1881399,10455761,BinarySearch,fb_200M_uint64
FST,2048,1146.39,906854,4970228,BinarySearch,fb_200M_uint64
FST,4096,1217.11,454814,2542182,BinarySearch,fb_200M_uint64
FST,8192,1281.84,228800,1307942,BinarySearch,fb_200M_uint64
Wormhole,512,1028.66,12499968,7576,BinarySearch,fb_200M_uint64
Wormhole,1024,957.27,6249984,1044,BinarySearch,fb_200M_uint64
Wormhole,2048,943.884,3124992,851,BinarySearch,fb_200M_uint64
Wormhole,4096,973.495,1562496,777,BinarySearch,fb_200M_uint64
Wormhole,6384,1004.44,1002496,750,BinarySearch,fb_200M_uint64
Wormhole,5536,1013.2,1156064,740,BinarySearch,fb_200M_uint64
Wormhole,62144,988.613,102976,623,BinarySearch,fb_200M_uint64
RBS,28,793.702,1073741828,1355106977,BinarySearch,fb_200M_uint64
RBS,26,800.76,268435460,913280114,BinarySearch,fb_200M_uint64
RBS,24,789.97,67108868,803996262,BinarySearch,fb_200M_uint64
RBS,22,786.991,16777220,772723269,BinarySearch,fb_200M_uint64
RBS,20,800.775,4194308,767182231,BinarySearch,fb_200M_uint64
RBS,18,798.567,1048580,764848547,BinarySearch,fb_200M_uint64
RBS,16,796.887,262148,764420630,BinarySearch,fb_200M_uint64
RBS,14,796.79,65540,768162805,BinarySearch,fb_200M_uint64
RBS,12,788.967,16388,765564971,BinarySearch,fb_200M_uint64
RBS,10,789.663,4100,765532807,BinarySearch,fb_200M_uint64
RBS,8,800.411,1028,768522335,BinarySearch,fb_200M_uint64
RobinHash,0,113.307,8589934592,11984143221,BinarySearch,fb_200M_uint64
BS,0,754.226,0,0,BinarySearch,fb_200M_uint64
