Name,XS,S,M,L,XL,Dataset
RMI,446 ns,263 ns,215 ns,200 ns,189 ns,all_uint64
RMI,609 ns,398 ns,287 ns,249 ns,228 ns,real_uint64
PGM,419 ns,484 ns,375 ns,391 ns,420 ns,all_uint64
PGM,600 ns,538 ns,395 ns,407 ns,420 ns,real_uint64
ART, ,634 ns,488 ns,445 ns,466 ns,all_uint64
ART, ,618 ns,501 ns,490 ns,454 ns,real_uint64
BTree,899 ns,691 ns,594 ns,583 ns,597 ns,all_uint64
BTree,903 ns,692 ns,597 ns,581 ns,598 ns,real_uint64
IBTree, ,603 ns,513 ns,486 ns,561 ns,all_uint64
IBTree, ,619 ns,544 ns,552 ns,675 ns,real_uint64
FAST, ,694 ns,605 ns, ,689 ns,all_uint64
FAST, ,689 ns,596 ns, ,684 ns,real_uint64
ALEX, ,603 ns,481 ns,411 ns,332 ns,all_uint64
ALEX, ,619 ns,503 ns,453 ns,401 ns,real_uint64
FST, ,1043 ns,940 ns, , ,all_uint64
FST, ,984 ns,991 ns, , ,real_uint64
Wormhole,992 ns,976 ns,970 ns, , ,all_uint64
Wormhole,982 ns,979 ns,951 ns, , ,real_uint64
RBS,536 ns,414 ns,361 ns,267 ns,194 ns,all_uint64
RBS,506 ns,383 ns,331 ns,248 ns,184 ns,real_uint64
RobinHash, , , , ,230 ns,all_uint64
RobinHash, , , , ,258 ns,real_uint64
BinarySearch,759 ns,759 ns,759 ns,759 ns,759 ns,all_uint64
BinarySearch,761 ns,761 ns,761 ns,761 ns,761 ns,real_uint64
RMI,595 ns,298 ns,197 ns,195 ns,192 ns,wiki_ts_200M_uint64
PGM,586 ns,418 ns,317 ns,387 ns, ,wiki_ts_200M_uint64
ART, , , , , ,wiki_ts_200M_uint64
BTree,894 ns,700 ns,606 ns,590 ns,601 ns,wiki_ts_200M_uint64
IBTree, ,648 ns,559 ns,555 ns,677 ns,wiki_ts_200M_uint64
FAST, , , , , ,wiki_ts_200M_uint64
ALEX, ,671 ns,485 ns,385 ns,321 ns,wiki_ts_200M_uint64
FST, , , , , ,wiki_ts_200M_uint64
Wormhole, , , , , ,wiki_ts_200M_uint64
RBS,501 ns,368 ns,287 ns,209 ns,155 ns,wiki_ts_200M_uint64
RobinHash, , , , ,116 ns,wiki_ts_200M_uint64
BinarySearch,768 ns,768 ns,768 ns,768 ns,768 ns,wiki_ts_200M_uint64
RMI,334 ns,251 ns,205 ns,201 ns,191 ns,books_200M_uint64
PGM,434 ns, ,339 ns,356 ns, ,books_200M_uint64
ART, , , , , ,books_200M_uint64
BTree,910 ns,693 ns,590 ns,581 ns,601 ns,books_200M_uint64
IBTree, ,585 ns,504 ns,502 ns,554 ns,books_200M_uint64
FAST, , , , , ,books_200M_uint64
ALEX, ,607 ns,480 ns,360 ns,283 ns,books_200M_uint64
FST, , , , , ,books_200M_uint64
Wormhole, , , , , ,books_200M_uint64
RBS,493 ns,367 ns,313 ns,207 ns,144 ns,books_200M_uint64
RobinHash, , , , ,337 ns,books_200M_uint64
BinarySearch,766 ns,766 ns,766 ns,766 ns,766 ns,books_200M_uint64
RMI,669 ns,131 ns,103 ns,102 ns,108 ns,lognormal_200M_uint64
PGM,218 ns, , , , ,lognormal_200M_uint64
ART, ,657 ns,550 ns,487 ns,578 ns,lognormal_200M_uint64
BTree,903 ns,692 ns,600 ns,581 ns,598 ns,lognormal_200M_uint64
IBTree, ,630 ns,515 ns,478 ns,520 ns,lognormal_200M_uint64
FAST, ,690 ns,619 ns, ,699 ns,lognormal_200M_uint64
ALEX, ,655 ns,490 ns,374 ns,258 ns,lognormal_200M_uint64
FST, ,1232 ns,1178 ns, , ,lognormal_200M_uint64
Wormhole,1012 ns,990 ns,968 ns, , ,lognormal_200M_uint64
RBS,782 ns,741 ns,702 ns,578 ns,466 ns,lognormal_200M_uint64
RobinHash, , , , ,107 ns,lognormal_200M_uint64
BinarySearch,753 ns,753 ns,753 ns,753 ns,753 ns,lognormal_200M_uint64
RMI,292 ns,211 ns,177 ns,171 ns,165 ns,uniform_sparse_200M_uint64
PGM,444 ns,324 ns,294 ns,328 ns, ,uniform_sparse_200M_uint64
ART, ,594 ns,460 ns,352 ns,494 ns,uniform_sparse_200M_uint64
BTree,889 ns,685 ns,583 ns,587 ns,601 ns,uniform_sparse_200M_uint64
IBTree, ,500 ns,443 ns,408 ns,462 ns,uniform_sparse_200M_uint64
FAST, ,702 ns,605 ns, ,683 ns,uniform_sparse_200M_uint64
ALEX, ,562 ns,435 ns,380 ns,303 ns,uniform_sparse_200M_uint64
FST, ,850 ns,939 ns, , ,uniform_sparse_200M_uint64
Wormhole,1000 ns,961 ns,986 ns, , ,uniform_sparse_200M_uint64
RBS,436 ns,304 ns,252 ns,155 ns,117 ns,uniform_sparse_200M_uint64
RobinHash, , , , ,102 ns,uniform_sparse_200M_uint64
BinarySearch,758 ns,758 ns,758 ns,758 ns,758 ns,uniform_sparse_200M_uint64
RMI,524 ns,391 ns,308 ns,270 ns,247 ns,fb_200M_uint64
PGM,635 ns,580 ns,456 ns,454 ns,420 ns,fb_200M_uint64
ART, ,618 ns,501 ns,490 ns,454 ns,fb_200M_uint64
BTree,905 ns,686 ns,595 ns,575 ns,588 ns,fb_200M_uint64
IBTree, ,565 ns,510 ns,522 ns,667 ns,fb_200M_uint64
FAST, ,689 ns,596 ns, ,684 ns,fb_200M_uint64
ALEX, ,578 ns,483 ns,518 ns,524 ns,fb_200M_uint64
FST, ,984 ns,991 ns, , ,fb_200M_uint64
Wormhole,982 ns,979 ns,951 ns, , ,fb_200M_uint64
RBS,444 ns,327 ns,301 ns,241 ns,189 ns,fb_200M_uint64
RobinHash, , , , ,468 ns,fb_200M_uint64
BinarySearch,761 ns,761 ns,761 ns,761 ns,761 ns,fb_200M_uint64
RMI,77 ns,78 ns,79 ns,132 ns,140 ns,uniform_dense_200M_uint64
PGM,90 ns, , , , ,uniform_dense_200M_uint64
ART, ,673 ns,470 ns,489 ns,324 ns,uniform_dense_200M_uint64
BTree,888 ns,689 ns,597 ns,588 ns,592 ns,uniform_dense_200M_uint64
IBTree, ,612 ns,490 ns,366 ns,360 ns,uniform_dense_200M_uint64
FAST, ,703 ns,602 ns, ,697 ns,uniform_dense_200M_uint64
ALEX, ,563 ns,444 ns,374 ns,249 ns,uniform_dense_200M_uint64
FST, ,1156 ns,848 ns, , ,uniform_dense_200M_uint64
Wormhole,996 ns,985 ns,972 ns, , ,uniform_dense_200M_uint64
RBS,521 ns,347 ns,281 ns,185 ns,101 ns,uniform_dense_200M_uint64
RobinHash, , , , ,86 ns,uniform_dense_200M_uint64
BinarySearch,750 ns,750 ns,750 ns,750 ns,750 ns,uniform_dense_200M_uint64
RMI,984 ns,652 ns,438 ns,331 ns,281 ns,osm_cellids_200M_uint64
PGM,743 ns,615 ns,468 ns,432 ns, ,osm_cellids_200M_uint64
ART, , , , , ,osm_cellids_200M_uint64
BTree,901 ns,689 ns,595 ns,577 ns,603 ns,osm_cellids_200M_uint64
IBTree, ,677 ns,604 ns,631 ns,801 ns,osm_cellids_200M_uint64
FAST, , , , , ,osm_cellids_200M_uint64
ALEX, , ,563 ns,551 ns,478 ns,osm_cellids_200M_uint64
FST, , , , , ,osm_cellids_200M_uint64
Wormhole, , , , , ,osm_cellids_200M_uint64
RBS,587 ns,471 ns,424 ns,337 ns,245 ns,osm_cellids_200M_uint64
RobinHash, , , , ,110 ns,osm_cellids_200M_uint64
BinarySearch,750 ns,750 ns,750 ns,750 ns,750 ns,osm_cellids_200M_uint64
RMI,94 ns,95 ns, , , ,normal_200M_uint64
PGM,204 ns, , , , ,normal_200M_uint64
ART, ,625 ns,459 ns,406 ns,478 ns,normal_200M_uint64
BTree,902 ns,691 ns,585 ns,586 ns,591 ns,normal_200M_uint64
IBTree, ,608 ns,480 ns,427 ns,444 ns,normal_200M_uint64
FAST, ,688 ns,603 ns, ,685 ns,normal_200M_uint64
ALEX, ,588 ns,466 ns,345 ns,244 ns,normal_200M_uint64
FST, ,995 ns,743 ns, , ,normal_200M_uint64
Wormhole,971 ns,967 ns,971 ns, , ,normal_200M_uint64
RBS,523 ns,391 ns,332 ns,221 ns,132 ns,normal_200M_uint64
RobinHash, , , , ,516 ns,normal_200M_uint64
BinarySearch,762 ns,762 ns,762 ns,762 ns,762 ns,normal_200M_uint64
RMI,303 ns,203 ns,169 ns,178 ns,173 ns,all_uint32
RMI,416 ns,315 ns,260 ns,245 ns,201 ns,real_uint32
PGM,357 ns,460 ns,370 ns,330 ns,380 ns,all_uint32
PGM,590 ns,513 ns,408 ns,350 ns,380 ns,real_uint32
BTree,922 ns,693 ns,569 ns,560 ns,524 ns,all_uint32
BTree,909 ns,687 ns,567 ns,569 ns,528 ns,real_uint32
IBTree, ,606 ns,496 ns,438 ns,470 ns,all_uint32
IBTree, ,616 ns,507 ns,492 ns,545 ns,real_uint32
FAST, ,642 ns,503 ns, ,481 ns,all_uint32
FAST, ,638 ns,510 ns, ,479 ns,real_uint32
ALEX, ,645 ns,462 ns,422 ns,310 ns,all_uint32
ALEX, ,640 ns,463 ns,454 ns,372 ns,real_uint32
FST, ,1032 ns,840 ns,866 ns, ,all_uint32
FST, ,1008 ns,884 ns,853 ns, ,real_uint32
Wormhole, ,998 ns,976 ns,1038 ns, ,all_uint32
Wormhole, ,1002 ns,997 ns,1047 ns, ,real_uint32
RBS,497 ns,429 ns,296 ns,206 ns,134 ns,all_uint32
RBS,455 ns,397 ns,270 ns,193 ns,131 ns,real_uint32
CuckooMap, , , , ,137 ns,all_uint32
CuckooMap, , , , ,162 ns,real_uint32
RobinHash, , , , ,157 ns,all_uint32
RobinHash, , , , ,128 ns,real_uint32
BinarySearch,770 ns,770 ns,770 ns,770 ns,770 ns,all_uint32
BinarySearch,768 ns,768 ns,768 ns,768 ns,768 ns,real_uint32
RMI,281 ns,211 ns,189 ns,182 ns,157 ns,uniform_sparse_200M_uint32
PGM,447 ns,355 ns,293 ns,289 ns, ,uniform_sparse_200M_uint32
BTree,918 ns,687 ns,581 ns,570 ns,518 ns,uniform_sparse_200M_uint32
IBTree, ,524 ns,464 ns,396 ns,430 ns,uniform_sparse_200M_uint32
FAST, , , , , ,uniform_sparse_200M_uint32
ALEX, ,634 ns,449 ns,437 ns,302 ns,uniform_sparse_200M_uint32
FST, , , , , ,uniform_sparse_200M_uint32
Wormhole, , , , , ,uniform_sparse_200M_uint32
RBS,446 ns,394 ns,255 ns,160 ns,120 ns,uniform_sparse_200M_uint32
CuckooMap, , , , , ,uniform_sparse_200M_uint32
RobinHash, , , , ,100 ns,uniform_sparse_200M_uint32
BinarySearch,776 ns,776 ns,776 ns,776 ns,776 ns,uniform_sparse_200M_uint32
RMI,77 ns,78 ns,79 ns,92 ns,131 ns,uniform_dense_200M_uint32
PGM,91 ns, , , , ,uniform_dense_200M_uint32
BTree,919 ns,697 ns,569 ns,560 ns,520 ns,uniform_dense_200M_uint32
IBTree, ,523 ns,455 ns,353 ns,341 ns,uniform_dense_200M_uint32
FAST, ,646 ns,504 ns, ,488 ns,uniform_dense_200M_uint32
ALEX, ,638 ns,431 ns,408 ns,262 ns,uniform_dense_200M_uint32
FST, ,1039 ns,740 ns,983 ns, ,uniform_dense_200M_uint32
Wormhole, ,1009 ns,968 ns,1003 ns, ,uniform_dense_200M_uint32
RBS,514 ns,412 ns,275 ns,178 ns,102 ns,uniform_dense_200M_uint32
CuckooMap, , , , ,125 ns,uniform_dense_200M_uint32
RobinHash, , , , ,86 ns,uniform_dense_200M_uint32
BinarySearch,777 ns,777 ns,777 ns,777 ns,777 ns,uniform_dense_200M_uint32
RMI,260 ns,91 ns,92 ns, , ,normal_200M_uint32
PGM,195 ns, , , , ,normal_200M_uint32
BTree,957 ns,698 ns,568 ns,555 ns,524 ns,normal_200M_uint32
IBTree, ,659 ns,507 ns,430 ns,411 ns,normal_200M_uint32
FAST, ,641 ns,497 ns, ,475 ns,normal_200M_uint32
ALEX, ,658 ns,485 ns,390 ns,250 ns,normal_200M_uint32
FST, ,1049 ns,897 ns,762 ns, ,normal_200M_uint32
Wormhole, ,982 ns,962 ns,1065 ns, ,normal_200M_uint32
RBS,491 ns,420 ns,292 ns,200 ns,122 ns,normal_200M_uint32
CuckooMap, , , , ,125 ns,normal_200M_uint32
RobinHash, , , , ,99 ns,normal_200M_uint32
BinarySearch,767 ns,767 ns,767 ns,767 ns,767 ns,normal_200M_uint32
RMI,334 ns,258 ns,226 ns,208 ns,195 ns,books_200M_uint32
PGM,550 ns,448 ns,367 ns,330 ns,380 ns,books_200M_uint32
BTree,922 ns,692 ns,566 ns,570 ns,532 ns,books_200M_uint32
IBTree, ,655 ns,497 ns,495 ns,540 ns,books_200M_uint32
FAST, , , , , ,books_200M_uint32
ALEX, ,646 ns,463 ns,418 ns,279 ns,books_200M_uint32
FST, , , , , ,books_200M_uint32
Wormhole, , , , , ,books_200M_uint32
RBS,471 ns,396 ns,272 ns,187 ns,134 ns,books_200M_uint32
CuckooMap, , , , , ,books_200M_uint32
RobinHash, , , , ,110 ns,books_200M_uint32
BinarySearch,768 ns,768 ns,768 ns,768 ns,768 ns,books_200M_uint32
RMI,368 ns,208 ns,132 ns,125 ns, ,lognormal_200M_uint32
PGM,232 ns, , , , ,lognormal_200M_uint32
BTree,923 ns,700 ns,560 ns,538 ns,523 ns,lognormal_200M_uint32
IBTree, ,700 ns,535 ns,465 ns,545 ns,lognormal_200M_uint32
FAST, , , , , ,lognormal_200M_uint32
ALEX, ,659 ns,482 ns,391 ns,306 ns,lognormal_200M_uint32
FST, , , , , ,lognormal_200M_uint32
Wormhole, , , , , ,lognormal_200M_uint32
RBS,622 ns,557 ns,415 ns,310 ns,199 ns,lognormal_200M_uint32
CuckooMap, , , , , ,lognormal_200M_uint32
RobinHash, , , , ,399 ns,lognormal_200M_uint32
BinarySearch,762 ns,762 ns,762 ns,762 ns,762 ns,lognormal_200M_uint32
RMI,497 ns,372 ns,294 ns,282 ns,208 ns,fb_200M_uint32
PGM,629 ns,578 ns,450 ns,370 ns,380 ns,fb_200M_uint32
BTree,897 ns,682 ns,568 ns,568 ns,524 ns,fb_200M_uint32
IBTree, ,578 ns,517 ns,490 ns,551 ns,fb_200M_uint32
FAST, ,638 ns,510 ns, ,479 ns,fb_200M_uint32
ALEX, ,633 ns,462 ns,489 ns,464 ns,fb_200M_uint32
FST, ,1008 ns,884 ns,853 ns, ,fb_200M_uint32
Wormhole, ,1002 ns,997 ns,1047 ns, ,fb_200M_uint32
RBS,438 ns,397 ns,269 ns,199 ns,129 ns,fb_200M_uint32
CuckooMap, , , , ,162 ns,fb_200M_uint32
RobinHash, , , , ,146 ns,fb_200M_uint32
BinarySearch,768 ns,768 ns,768 ns,768 ns,768 ns,fb_200M_uint32
